Team,Rd64,Rd32,Rd16,Rd8,Rd4,Final
Akron,12.02,4.23,0.62,0.24,0.11,0.06
Alabama,94.6,79.02,55.95,17.9,8.48,3.32
Arizona,85.19,52.01,8.98,3.94,1.62,0.75
Arkansas,34.61,6.19,2.28,0.57,0.25,0.12
Auburn,98.1,87.3,72.48,51.81,27.79,14.12
BYU,65.49,27.91,11.21,1.22,0.43,0.22
Baylor,54.72,3.79,1.48,0.67,0.27,0.13
Bryant,3.25,1.33,0.64,0.25,0.09,0.04
Clemson,82.42,48.62,10.45,3.9,1.11,0.41
Colorado St.,27.79,6.83,0.84,0.34,0.15,0.07
Connecticut,67.45,10.55,7.01,2.97,1.6,0.76
Creighton,43.91,4.57,2.02,0.79,0.28,0.13
Drake,38.3,12.19,2.45,0.59,0.25,0.09
Duke,96.62,91.53,80.27,64.1,49.36,28.17
Florida,96.38,84.25,74.01,54.65,31.69,17.41
Georgia,27.63,5.43,2.42,1.04,0.64,0.46
Gonzaga,69.18,12.96,7.32,3.17,1.12,0.6
Grand Canyon,13.42,4.56,0.69,0.28,0.12,0.06
High Point,14.52,3.93,0.6,0.27,0.1,0.05
Houston,95.67,78.71,66.55,44.2,16.47,8.46
Illinois,73.86,26.4,9.85,1.76,0.55,0.26
Iowa St.,92.87,63.63,22.21,6.41,2.23,0.64
Kansas,62.47,23.18,10.75,3.76,2.01,1.07
Kentucky,92.09,63.74,25.2,12.05,4.46,1.91
Liberty,17.22,4.5,0.57,0.25,0.11,0.05
Lipscomb,5.73,1.81,0.46,0.17,0.07,0.03
Louisville,54.45,6.48,3.7,1.99,0.43,0.18
Marquette,64.44,14.58,5.09,1.16,0.38,0.15
Maryland,83.89,52.68,9.64,4.49,1.7,0.69
McNeese,14.42,5.1,0.67,0.25,0.1,0.04
Memphis,69.36,33.88,4.79,1.75,0.63,0.23
Michigan,79.32,50.36,12.1,5.32,2.39,1.16
Michigan St.,95.87,79.21,58.7,25.18,10.37,4.36
Mississippi,65.72,22.89,8.65,1.3,0.66,0.14
Mississippi St.,42.1,2.14,0.91,0.32,0.13,0.06
Missouri,58.77,22.54,8.62,1.14,0.43,0.22
Montana,5.57,1.77,0.54,0.23,0.1,0.05
Nebraska Omaha,4.03,1.27,0.59,0.24,0.11,0.05
New Mexico,33.67,3.87,1.36,0.35,0.13,0.06
Norfolk St.,1.92,0.81,0.4,0.22,0.11,0.06
Oklahoma,29.73,2.69,1.27,0.5,0.21,0.09
Oregon,79.87,37.11,5.33,2.19,0.89,0.42
Purdue,82.35,40.04,9.83,3.45,1.17,0.56
Robert Morris,3.23,1.23,0.54,0.22,0.09,0.04
SIUE,2.14,0.84,0.42,0.24,0.11,0.05
Saint Mary's,55.26,12.22,3.7,0.71,0.25,0.1
St. John's,93.9,67.53,49.25,20.19,11.33,5.07
Tennessee,94.17,77.91,55.11,25.12,8.26,3.36
Texas A&M,77.53,35.24,6.49,2.74,0.93,0.31
Texas Tech,91.39,61.44,24.06,6.99,2.47,0.74
Troy,4.97,1.66,0.48,0.2,0.09,0.04
UC San Diego,19.31,8.27,1.15,0.52,0.21,0.09
UCLA,65.26,15.47,4.76,1.94,0.64,0.37
UNC Wilmington,5.99,1.81,0.49,0.2,0.09,0.04
Utah St.,31.3,3.18,0.97,0.29,0.11,0.04
VCU,31.43,7.92,1.53,0.31,0.14,0.06
Vanderbilt,41.62,5.52,1.99,0.42,0.16,0.07
Wisconsin,91.84,60.27,22.87,5.83,2.48,1.05
Wofford,3.36,1.28,0.64,0.24,0.12,0.05
Yale,20.9,4.96,0.96,0.54,0.33,0.21
