Username,Round of 64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Round of 32,,,,,,,,,,,,,,,,Sweet 16,,,,,,,,Elite 8,,,,Final Four,,Championship,Tie Breaker
,East,,,,,,,,West,,,,,,,,South,,,,,,,,MidWest,,,,,,,,East,,,,West,,,,South,,,,MidWest,,,,East,,West,,South,,MidWest,,East,West,South,MidWest,East/West,South/MidWest,Champion
_Trav_, UCONN, Northwestern, San Diego St., Auburn, Duquesne, Illinois, Drake, Iowa State, North Carolina, Michigan St., Grand Canyon, Alabama, Clemson, Baylor, Dayton, Long Beach St., Houston, Nebraska, Wisconsin, Duke, NC State, Kentucky, Florida, Marquette, Purdue, TCU, Gonzaga, Kansas, Oregon, Creighton, Texas, Tennessee, Northwestern, San Diego St., Illinois, Iowa State, Michigan St., Grand Canyon, Clemson, Long Beach St., Nebraska, Wisconsin, NC State, Marquette, Purdue, Gonzaga, Creighton, Tennessee, Northwestern, Illinois, Michigan St., Clemson, Wisconsin, Marquette, Purdue, Tennessee, Illinois, Clemson, Wisconsin, Purdue, Illinois, Purdue, Purdue, 146, 
1GreatGreen, UCONN, Northwestern, San Diego St., Auburn, BYU, Illinois, Drake, Iowa State, North Carolina, Michigan St., Saint Mary's, Charleston, Clemson, Baylor, Dayton, Arizona, Houston, Texas A&M, Wisconsin, Duke, NC State, Kentucky, Florida, Marquette, Purdue, Utah St., Gonzaga, Kansas, Oregon, Creighton, Texas, Tennessee, UCONN, San Diego St., Illinois, Iowa State, North Carolina, Saint Mary's, Baylor, Arizona, Houston, Duke, Kentucky, Marquette, Purdue, Gonzaga, Creighton, Tennessee, UCONN, Illinois, North Carolina, Arizona, Duke, Kentucky, Gonzaga, Tennessee, UCONN, North Carolina, Kentucky, Tennessee, UCONN, Kentucky, UCONN, 143, 
angie1206, UCONN, Northwestern, San Diego St., Auburn, BYU, Illinois, Washington St., Iowa State, North Carolina, Michigan St., Grand Canyon, Alabama, Clemson, Baylor, Dayton, Arizona, Houston, Nebraska, Wisconsin, Duke, Texas Tech, Kentucky, Florida, Marquette, Purdue, TCU, Gonzaga, Kansas, Oregon, Creighton, Texas, Tennessee, UCONN, Auburn, Illinois, Iowa State, North Carolina, Alabama, Baylor, Arizona, Houston, Wisconsin, Texas Tech, Marquette, Purdue, Gonzaga, Creighton, Tennessee, UCONN, Iowa State, North Carolina, Baylor, Houston, Marquette, Purdue, Tennessee, UCONN, North Carolina, Houston, Tennessee, UCONN, Tennessee, Tennessee, 142, 
angie1206, UCONN, Northwestern, San Diego St., Auburn, Duquesne, Illinois, Drake, Iowa State, North Carolina, Michigan St., Saint Mary's, Alabama, Clemson, Baylor, Dayton, Arizona, Houston, Nebraska, Wisconsin, Duke, NC State, Kentucky, Florida, Marquette, Purdue, TCU, Gonzaga, Kansas, South Carolina, Creighton, Texas, Tennessee, UCONN, San Diego St., Illinois, Iowa State, Michigan St., Saint Mary's, Baylor, Arizona, Houston, Wisconsin, Kentucky, Marquette, Purdue, Kansas, Creighton, Texas, UCONN, Iowa State, Michigan St., Baylor, Houston, Kentucky, Purdue, Creighton, Iowa State, Baylor, Houston, Purdue, Iowa State, Houston, Houston, 110, 
angie1206, UCONN, Northwestern, San Diego St., Auburn, Duquesne, Illinois, Drake, Iowa State, North Carolina, Michigan St., Saint Mary's, Alabama, New Mexico, Baylor, Dayton, Arizona, Houston, Nebraska, Wisconsin, Duke, Texas Tech, Kentucky, Florida, Marquette, Purdue, Utah St., Gonzaga, Kansas, Oregon, Creighton, Texas, Tennessee, UCONN, San Diego St., Illinois, Iowa State, North Carolina, Alabama, New Mexico, Arizona, Nebraska, Duke, Kentucky, Marquette, Purdue, Gonzaga, Oregon, Tennessee, UCONN, Illinois, North Carolina, Arizona, Duke, Kentucky, Purdue, Oregon, Illinois, Arizona, Kentucky, Oregon, Illinois, Oregon, Illinois, 146, 
angie1206, UCONN, Florida Atlantic, San Diego St., Yale, Duquesne, Illinois, Washington St., Iowa State, North Carolina, Michigan St., Grand Canyon, Alabama, New Mexico, Baylor, Nevada, Arizona, Houston, Nebraska, James Madison, Duke, NC State, Kentucky, Colorado, Marquette, Purdue, TCU, Gonzaga, Kansas, South Carolina, Creighton, Texas, Tennessee, UCONN, San Diego St., Illinois, Iowa State, Michigan St., Alabama, Baylor, Arizona, Nebraska, James Madison, Kentucky, Marquette, Purdue, Gonzaga, South Carolina, Tennessee, UCONN, Illinois, Michigan St., Arizona, Nebraska, Kentucky, Purdue, South Carolina, UCONN, Arizona, Nebraska, Purdue, UCONN, Purdue, UCONN, 138, 
baoleary32, UCONN, Florida Atlantic, San Diego St., Auburn, BYU, Illinois, Washington St., Iowa State, North Carolina, Michigan St., Saint Mary's, Alabama, Clemson, Baylor, Dayton, Arizona, Houston, Nebraska, Wisconsin, Duke, NC State, Kentucky, Florida, Marquette, Purdue, TCU, Gonzaga, Kansas, Oregon, Creighton, Colorado St., Tennessee, UCONN, Auburn, Illinois, Iowa State, North Carolina, Alabama, Baylor, Arizona, Houston, Wisconsin, Kentucky, Marquette, Purdue, Kansas, Creighton, Tennessee, UCONN, Iowa State, North Carolina, Arizona, Houston, Kentucky, Purdue, Tennessee, UCONN, Arizona, Houston, Tennessee, Arizona, Houston, Arizona, 141, 
BING BONG, UCONN, Florida Atlantic, San Diego St., Auburn, BYU, Illinois, Washington St., Iowa State, North Carolina, Michigan St., Saint Mary's, Alabama, Clemson, Baylor, Dayton, Arizona, Houston, Texas A&M, James Madison, Duke, NC State, Kentucky, Florida, Marquette, Purdue, TCU, Gonzaga, Samford, Oregon, Creighton, Texas, Tennessee, UCONN, Auburn, BYU, Iowa State, North Carolina, Saint Mary's, Baylor, Arizona, Houston, James Madison, NC State, Florida, Purdue, Gonzaga, Creighton, Tennessee, UCONN, Iowa State, North Carolina, Arizona, Houston, NC State, Purdue, Creighton, UCONN, Arizona, Houston, Creighton, UCONN, Creighton, Creighton, 157, 
Buto19, UCONN, Northwestern, San Diego St., Auburn, BYU, Illinois, Washington St., Iowa State, North Carolina, Michigan St., Saint Mary's, Alabama, Clemson, Baylor, Nevada, Arizona, Houston, Texas A&M, Wisconsin, Duke, NC State, Kentucky, Florida, Marquette, Purdue, TCU, Gonzaga, Kansas, Oregon, Creighton, Texas, Tennessee, UCONN, Auburn, Illinois, Iowa State, North Carolina, Alabama, Baylor, Arizona, Houston, Duke, Kentucky, Marquette, Purdue, Kansas, Creighton, Tennessee, UCONN, Iowa State, Alabama, Arizona, Houston, Kentucky, Purdue, Tennessee, UCONN, Alabama, Houston, Tennessee, UCONN, Houston, Houston, 155, 
bwill44, UCONN, Northwestern, San Diego St., Auburn, BYU, Illinois, Washington St., Iowa State, North Carolina, Michigan St., Saint Mary's, Alabama, New Mexico, Baylor, Nevada, Arizona, Houston, Texas A&M, Wisconsin, Duke, NC State, Kentucky, Florida, Marquette, Purdue, Utah St., Gonzaga, Kansas, Oregon, Creighton, Texas, Tennessee, UCONN, Auburn, Illinois, Washington St., North Carolina, Alabama, Baylor, Arizona, Houston, Duke, Kentucky, Florida, Purdue, Gonzaga, Oregon, Tennessee, Auburn, Illinois, North Carolina, Arizona, Houston, Kentucky, Purdue, Tennessee, Illinois, Arizona, Kentucky, Tennessee, Arizona, Kentucky, Kentucky, 144, 
